4xCO2	Global	Boreal North America	Temperate North America	Europe	Boreal Asia	Temperate Asia	Tropical Asia	Australia + NewZealand	Tropical South America	South America Temperate	North Africa Savana (expanded)	Equatorial Africa (reduced)	South Africa	Equatorial African forest
IPSL-CM5A-LR	348.0154104	30.66899	41.87449	39.60439	54.39149	50.8774	26.62302	6.901761	37.26749	19.58098	7.710021	7.552723	15.96674	8.995906
IPSL-CM6A-LR-p1	191.078269	19.12981	24.69291	20.81836	30.17715	24.38196	9.577692	9.138558	11.06005	14.88898	6.550366	6.181769	12.84497	1.6357
IPSL-CM6A-LR-p2	252.0439863	22.68032	31.14747	25.31255	36.67371	30.22871	14.61534	11.76422	19.56052	20.58128	9.094998	9.079619	17.82677	3.478484
ACCESS-ESM1.5	136.1711923	9.314091	13.9869	20.22616	15.25215	19.30788	3.984998	7.548788	11.01617	11.35587	6.69515	5.748469	8.853825	2.880739
CESM2	246.4416114	11.0168	18.9812	20.91601	22.78188	27.51179	24.3829	7.281598	56.54756	20.66248	3.836324	6.792184	14.08608	11.6448
MIROC-ES2L	459.6700454	44.18613	48.04178	40.3997	78.41535	31.14159	24.75098	19.79179	41.16424	36.3796	28.5271	15.88102	42.83031	8.160458
MPI-ESM1.2-LR	323.8494795	18.24774	27.20234	17.7605	25.44229	36.80405	22.97736	23.82169	47.81359	31.49834	18.00636	14.16073	30.85004	9.26445
UKESM1-0-LL	300.371666	26.74361	31.58546	31.20263	41.13545	31.28359	24.0332	4.618185	37.35072	30.91675	3.784143	7.967801	21.65361	8.096533
CNRM-ESM2-1	572.5068078	69.11249	70.4693	81.83398	115.178	94.51216	18.10713	15.62017	31.21514	40.29701	6.07916	9.589969	16.19395	4.298368
CanESM5	518.7642145	-0.43989	47.79265	15.63116	9.050629	48.64927	67.54638	28.43277	105.7376	49.05291	35.50308	25.30218	58.01411	28.49134
