4xCO2	Global	Boreal North America	Temperate North America	Europe	Boreal Asia	Temperate Asia	Tropical Asia	Australia + NewZealand	Tropical South America	South America Temperate	North Africa Savana (expanded)	Equatorial Africa (reduced)	South Africa	Equatorial African forest
IPSL-CM5A-LR	581.5885833	36.25367	56.96312	49.35413	71.17198	36.26448	100.7743	5.834525	101.9287	23.45161	8.27717	19.87412	28.72413	42.71659
IPSL-CM6A-LR-p1	337.7585694	26.04128	44.51977	27.25962	27.77388	22.51619	26.21649	15.08376	48.16462	32.31241	13.08095	14.39616	33.06918	7.324265
IPSL-CM6A-LR-p2	469.2587539	31.38993	55.36905	32.4425	34.35804	28.8123	41.03988	19.92423	80.44624	44.42263	19.56829	21.64442	45.53269	14.30856
ACCESS-ESM1.5	167.2945447	6.034627	14.44507	12.48061	9.186111	11.43271	7.945152	7.29904	45.55157	15.3939	6.935186	9.654581	10.26488	10.6711
CESM2	525.5487826	15.58704	32.46724	20.52484	23.19625	38.17592	81.5405	9.375106	159.4434	47.34266	8.121928	21.20053	31.94608	36.62734
MIROC-ES2L	374.8459633	17.58393	31.97041	20.08546	29.43487	23.44066	37.53549	17.62214	65.27643	36.60016	29.88314	16.0477	36.87841	12.48716
MPI-ESM1.2-LR	280.5850549	3.977493	12.85129	3.310796	6.017587	14.98329	44.26162	7.341448	78.19132	34.2533	13.85892	14.89524	26.92876	19.71399
UKESM1-0-LL	377.3793368	11.98672	33.95399	15.07843	17.37367	26.13387	45.942	9.905655	69.04689	47.71113	10.11045	19.84574	48.82381	21.46698
CNRM-ESM2-1	548.0877762	28.60498	89.99748	54.13978	50.65695	69.34509	54.45101	15.63803	81.39379	49.1322	7.821258	11.33275	25.79859	9.775859
CanESM5	546.9787049	3.827342	40.95252	9.459773	10.75476	34.3052	93.75706	20.90321	143.6205	41.40338	30.15454	23.57454	49.76282	44.50309
