icao,iata,name,lat,lon,elev,tz,name_ext,city,region,country
AYGA,GKA,Goroka,-6.081689,145.391881,1566.0,Pacific/Port_Moresby,Goroka Airport,Goroka,, Papua New Guinea
AYMD,MAG,Madang,-5.207083,145.7887,8.0,Pacific/Port_Moresby,Madang Airport,Madang,, Papua New Guinea
AYMH,HGU,Mount Hagen,-5.826789,144.295861,1636.0,Pacific/Port_Moresby,Mount Hagen Airport,Mount Hagen,, Papua New Guinea
AYNZ,LAE,Nadzab,-6.569828,146.72624199999996,65.0,Pacific/Port_Moresby,Lae Nadzab Airport,Lae,, Papua New Guinea
AYPY,POM,Port Moresby Jacksons Intl,-9.443383,147.22005,50.0,Pacific/Port_Moresby,Jacksons International Airport,Port Moresby,, Papua New Guinea
AYWK,WWK,Wewak Intl,-3.583828,143.669186,8.0,Pacific/Port_Moresby,Wewak Airport[1],Wewak,, Papua New Guinea
BGBW,UAK,Narsarsuaq,61.160517000000006,-45.425978,36.0,America/Nuuk,Narsarsuaq Airport,Narsarsuaq,, Greenland
BGGH,GOH,Nuuk,64.190922,-51.678064,56.0,America/Nuuk,Nuuk Airport,Nuuk,, Greenland
BGSF,SFJ,Sondre Stromfjord,67.01696899999999,-50.689325,42.0,America/Nuuk,Kangerlussuaq Airport,Kangerlussuaq,, Greenland
BGTL,THU,Thule Air Base,76.531203,-68.703161,70.0,America/Thule,Thule Air Base,Pituffik,, Greenland
BIAR,AEY,Akureyri,65.659994,-18.072703,9.0,Atlantic/Reykjavik,Akureyri Airport,Akureyri,, Iceland
BIEG,EGS,Egilsstadir,65.283333,-14.401389000000002,8.0,Atlantic/Reykjavik,Egilsstaðir Airport,Egilsstaðir,, Iceland
BIHN,HFN,Hornafjordur,64.295556,-15.227222,11.0,Atlantic/Reykjavik,Hornafjörður Airport,Höfn,, Iceland
BIHU,HZK,Husavik,65.95232800000001,-17.425978,11.0,Atlantic/Reykjavik,Húsavík Airport,Húsavík,, Iceland
BIIS,IFJ,Isafjordur,66.05805600000001,-23.135278,13.0,Atlantic/Reykjavik,Ísafjörður Airport,Ísafjörður,, Iceland
BIKF,KEF,Keflavik International Airport,63.985,-22.605556,30.0,Atlantic/Reykjavik,Keflavík International Airport,Reykjavík,, Iceland
BIPA,PFJ,Patreksfjordur,65.55583299999999,-23.965,5.0,Atlantic/Reykjavik,Patreksfjörður Airport,Patreksfjörður,, Iceland
BIRK,RKV,Reykjavik,64.13,-21.940556,11.0,Atlantic/Reykjavik,Reykjavík Airport,Reykjavík,, Iceland
BISI,SIJ,Siglufjordur,66.133333,-18.916667,6.0,Atlantic/Reykjavik,Siglufjörður Airport,Siglufjörður,, Iceland
BIVM,VEY,Vestmannaeyjar,63.424303,-20.278875,90.0,Atlantic/Reykjavik,Vestmannaeyjar Airport,Vestmannaeyjar,, Iceland
CYAM,YAM,Sault Ste Marie,46.485001,-84.509445,180.0,America/Toronto,Sault Ste. Marie Airport,Sault Ste. Marie, Ontario, Canada
CYAV,YAV,Winnipeg St Andrews,50.056389,-97.0325,236.0,America/Winnipeg,,,,
CYAW,YAW,Shearwater,44.639721,-63.499444,36.0,America/Halifax,,,,
CYAY,YAY,St Anthony,51.391944,-56.083056000000006,34.0,America/St_Johns,St. Anthony Airport,St. Anthony, Newfoundland and Labrador, Canada
CYAZ,YAZ,Tofino,49.082222,-125.7725,40.0,America/Vancouver,Tofino/Long Beach Airport,Tofino, British Columbia, Canada
CYBB,YBB,Kugaaruk,68.534444,-89.80805600000002,10.0,America/Cambridge_Bay,Kugaaruk Airport,Kugaaruk, Nunavut, Canada
CYBC,YBC,Baie Comeau,49.1325,-68.204444,13.0,America/Toronto,Baie-Comeau Airport,Baie-Comeau, Quebec, Canada
CYBG,YBG,Bagotville,48.330555,-70.996391,147.0,America/Toronto,Canadian Forces Base Bagotville,La Baie (Bagotville), Quebec, Canada
CYBK,YBK,Baker Lake,64.298889,-96.077778,15.0,America/Rankin_Inlet,Baker Lake Airport,Baker Lake, Nunavut, Canada
CYBL,YBL,Campbell River,49.950832,-125.270833,87.0,America/Vancouver,Campbell River Airport,Campbell River, British Columbia, Canada
CYBR,YBR,Brandon Muni,49.91,-99.951944,398.0,America/Winnipeg,Brandon Municipal Airport (McGill Field),Brandon, Manitoba, Canada
CYCB,YCB,Cambridge Bay,69.10805500000001,-105.138333,12.0,America/Cambridge_Bay,Cambridge Bay Airport,Cambridge Bay, Nunavut, Canada
CYCD,YCD,Nanaimo,49.052333,-123.870167,20.0,America/Vancouver,Nanaimo Airport,Nanaimo, British Columbia, Canada
CYCG,YCG,Castlegar,49.296389000000005,-117.6325,496.0,America/Vancouver,West Kootenay Regional Airport (Castlegar Airport),Castlegar, British Columbia, Canada
CYCH,YCH,Miramichi,47.007778,-65.449167,26.0,America/Moncton,Miramichi Airport,Miramichi, New Brunswick, Canada
CYCL,YCL,Charlo,47.990833,-66.330278,29.0,America/Moncton,Charlo Airport,Charlo, New Brunswick, Canada
CYCO,YCO,Kugluktuk,67.81666700000001,-115.143889,18.0,America/Cambridge_Bay,Kugluktuk Airport,Kugluktuk, Nunavut, Canada
CYCT,YCT,Coronation,52.075001,-111.445278,777.0,America/Edmonton,Coronation Airport,Coronation, Alberta, Canada
CYCW,YCW,Chilliwack,49.152779,-121.93889,7.0,America/Vancouver,Chilliwack Airport,Chilliwack, British Columbia, Canada
CYCY,YCY,Clyde River,70.486111,-68.516667,8.0,America/Iqaluit,Clyde River Airport,Clyde River, Nunavut, Canada
CYCZ,YZS,Fairmont Hot Springs,64.193333,-83.359444,32.0,America/Atikokan,Fairmont Hot Springs Airport,Fairmont Hot Springs, British Columbia, Canada
CYDA,YDA,Dawson City,64.043056,-139.127778,390.0,America/Dawson,Dawson City Airport,Dawson City, Yukon, Canada
CYDB,YDB,Burwash,61.371111,-139.040556,809.0,America/Dawson,Burwash Airport,Burwash Landing, Yukon, Canada
CYDC,YDC,Princeton,49.468056,-120.511389,696.0,America/Vancouver,,,,
CYDF,YDF,Deer Lake,49.210833,-57.391388,23.0,America/St_Johns,Deer Lake Regional Airport,Deer Lake, Newfoundland and Labrador, Canada
CYDL,YDL,Dease Lake,58.422222,-130.032222,810.0,America/Vancouver,Dease Lake Airport,Dease Lake, British Columbia, Canada
CYDN,YDN,Dauphin Barker,51.100834000000006,-100.0525,292.0,America/Winnipeg,Lt. Col W.G. (Billy) Barker VC Airport,Dauphin, Manitoba, Canada
CYDQ,YDQ,Dawson Creek,55.742333,-120.183,656.0,America/Dawson_Creek,Dawson Creek Airport,Dawson Creek, British Columbia, Canada
CYEG,YEG,Edmonton Intl,53.309723,-113.579722,724.0,America/Edmonton,Edmonton International Airport,Edmonton, Alberta, Canada
CYEK,YEK,Arviat,61.094166,-94.070833,9.0,America/Rankin_Inlet,Arviat Airport,Arviat, Nunavut, Canada
CYEN,YEN,Estevan,49.210278,-102.965833,573.0,America/Regina,Estevan Regional Aerodrome,Estevan, Saskatchewan, Canada
CYET,YET,Edson,53.578888,-116.465,928.0,America/Edmonton,Edson Airport,Edson, Alberta, Canada
CYEU,YEU,Eureka,79.994722,-85.814167,73.0,America/Rankin_Inlet,Eureka Aerodrome,Eureka, Nunavut, Canada
CYEV,YEV,Inuvik Mike Zubko,68.304167,-133.482778,41.0,America/Inuvik,Inuvik (Mike Zubko) Airport,Inuvik, Northwest Territories, Canada
CYFB,YFB,Iqaluit,63.75639,-68.555832,12.0,America/Iqaluit,Iqaluit Airport,Iqaluit, Nunavut, Canada
CYFC,YFC,Fredericton,45.868889,-66.537222,14.0,America/Moncton,Fredericton International Airport,Fredericton, New Brunswick, Canada
CYFO,YFO,Flin Flon,54.67805500000001,-101.681667,253.0,America/Winnipeg,Flin Flon Airport,Flin Flon, Manitoba, Canada
CYFR,YFR,Fort Resolution,61.180832,-113.689722,151.0,America/Yellowknife,Fort Resolution Airport,Fort Resolution, Northwest Territories, Canada
CYFS,YFS,Fort Simpson,61.760153,-121.236525,146.0,America/Inuvik,Fort Simpson Airport,Fort Simpson, Northwest Territories, Canada
CYGK,YGK,Kingston,44.225277,-76.596944,83.0,America/Toronto,Kingston/Norman Rogers Airport,Kingston, Ontario, Canada
CYGL,YGL,La Grande Riviere,53.625278,-77.704167,178.0,America/Toronto,La Grande Rivière Airport,Radisson, Quebec, Canada
CYGP,YGP,Gaspe,48.775278,-64.478611,29.0,America/Toronto,Michel-Pouliot Gaspé Airport,Gaspé, Quebec, Canada
CYGQ,YGQ,Geraldton Greenstone Regional,49.778332,-86.93944499999998,346.0,America/Nipigon,Geraldton (Greenstone Regional) Airport,Greenstone (Geraldton), Ontario, Canada
CYGR,YGR,Iles De La Madeleine,47.424721000000005,-61.77805600000001,3.0,America/Halifax,Îles-de-la-Madeleine Airport,Les Îles-de-la-Madeleine, Quebec, Canada
CYHB,YHB,Hudson Bay,52.816666000000005,-102.31139,357.0,America/Regina,Hudson Bay Airport,Hudson Bay, Saskatchewan, Canada
CYHD,YHD,Dryden Rgnl,49.831667,-92.744167,411.0,America/Rainy_River,Dryden Regional Airport,Dryden, Ontario, Canada
CYHI,YHI,Ulukhaktok Holman,70.762778,-117.80611100000002,32.0,America/Yellowknife,Ulukhaktok/Holman Airport,Ulukhaktok, Northwest Territories, Canada
CYHK,YHK,Gjoa Haven,68.63555600000001,-95.849722,33.0,America/Cambridge_Bay,Gjoa Haven Airport,Gjoa Haven, Nunavut, Canada
CYHM,YHM,Hamilton,43.173611,-79.935,232.0,America/Toronto,John C. Munro Hamilton International Airport,Hamilton, Ontario, Canada
CYHU,YHU,St Hubert,45.5175,-73.416944,41.0,America/Toronto,Montréal/Saint-Hubert Airport,Montreal, Quebec, Canada
CYHY,YHY,Hay River,60.839722,-115.782778,156.0,America/Yellowknife,Hay River/Merlyn Carter Airport,Hay River, Northwest Territories, Canada
CYHZ,YHZ,Halifax Intl,44.880833,-63.50861,139.0,America/Halifax,Halifax Stanfield International Airport,Halifax, Nova Scotia, Canada
CYIB,YIB,Atikokan Muni,48.773888,-91.638611,439.0,America/Atikokan,Atikokan Municipal Airport,Atikokan, Ontario, Canada
CYIO,YIO,Pond Inlet,72.683334,-77.966667,60.0,America/Iqaluit,Pond Inlet Airport,Pond Inlet, Nunavut, Canada
CYJN,YJN,St Jean,45.294445,-73.281111,44.0,America/Toronto,Saint-Jean Airport,Saint-Jean-sur-Richelieu, Quebec, Canada
CYJT,YJT,Stephenville,48.544167,-58.549999,8.0,America/St_Johns,Stephenville International Airport,Stephenville, Newfoundland and Labrador, Canada
CYKA,YKA,Kamloops,50.702222,-120.444444,334.0,America/Vancouver,Kamloops Airport,Kamloops, British Columbia, Canada
